# ./sample_venc 0
READ_REG A= 0x3000, D= 0x0 
READ_REG A= 0x3001, D= 0x0 
READ_REG A= 0x3002, D= 0x0 
READ_REG A= 0x3003, D= 0x0 
READ_REG A= 0x3004, D= 0x10 
READ_REG A= 0x3005, D= 0x1 
READ_REG A= 0x3006, D= 0x0 
READ_REG A= 0x3007, D= 0x0 
READ_REG A= 0x3008, D= 0xA0 
READ_REG A= 0x3009, D= 0x12 
READ_REG A= 0x300A, D= 0xF0 
READ_REG A= 0x300B, D= 0x0 
READ_REG A= 0x300C, D= 0x0 
READ_REG A= 0x300D, D= 0x0 
READ_REG A= 0x300E, D= 0x1 
READ_REG A= 0x300F, D= 0x0 
READ_REG A= 0x3010, D= 0x21 
READ_REG A= 0x3011, D= 0x0 
READ_REG A= 0x3012, D= 0x64 
READ_REG A= 0x3013, D= 0x0 
READ_REG A= 0x3014, D= 0x0 
READ_REG A= 0x3015, D= 0x0 
READ_REG A= 0x3016, D= 0x9 
READ_REG A= 0x3017, D= 0xA5 
READ_REG A= 0x3018, D= 0x47 
READ_REG A= 0x3019, D= 0x5 
READ_REG A= 0x301A, D= 0x0 
READ_REG A= 0x301B, D= 0x0 
READ_REG A= 0x301C, D= 0x30 
READ_REG A= 0x301D, D= 0x11 
READ_REG A= 0x301E, D= 0xB2 
READ_REG A= 0x301F, D= 0x1 
READ_REG A= 0x3020, D= 0x3 
READ_REG A= 0x3021, D= 0x0 
READ_REG A= 0x3022, D= 0x0 
READ_REG A= 0x3023, D= 0x0 
READ_REG A= 0x3024, D= 0x0 
READ_REG A= 0x3025, D= 0x0 
READ_REG A= 0x3026, D= 0x0 
READ_REG A= 0x3027, D= 0x0 
READ_REG A= 0x3028, D= 0x0 
READ_REG A= 0x3029, D= 0x0 
READ_REG A= 0x302A, D= 0x0 
READ_REG A= 0x302B, D= 0x0 
READ_REG A= 0x302C, D= 0x0 
READ_REG A= 0x302D, D= 0x0 
READ_REG A= 0x302E, D= 0x0 
READ_REG A= 0x302F, D= 0x0 
READ_REG A= 0x3030, D= 0x0 
READ_REG A= 0x3031, D= 0x0 
READ_REG A= 0x3032, D= 0x0 
READ_REG A= 0x3033, D= 0x0 
READ_REG A= 0x3034, D= 0x0 
READ_REG A= 0x3035, D= 0x0 
READ_REG A= 0x3036, D= 0x0 
READ_REG A= 0x3037, D= 0x0 
READ_REG A= 0x3038, D= 0x0 
READ_REG A= 0x3039, D= 0x0 
READ_REG A= 0x303A, D= 0xC 
READ_REG A= 0x303B, D= 0x0 
READ_REG A= 0x303C, D= 0x0 
READ_REG A= 0x303D, D= 0x0 
READ_REG A= 0x303E, D= 0x49 
READ_REG A= 0x303F, D= 0x4 
READ_REG A= 0x3040, D= 0x0 
READ_REG A= 0x3041, D= 0x0 
READ_REG A= 0x3042, D= 0x9C 
READ_REG A= 0x3043, D= 0x7 
READ_REG A= 0x3044, D= 0x1 
READ_REG A= 0x3045, D= 0x1 
READ_REG A= 0x3046, D= 0xE1 
READ_REG A= 0x3047, D= 0x1 
READ_REG A= 0x3048, D= 0x0 
READ_REG A= 0x3049, D= 0xA 
READ_REG A= 0x304A, D= 0x0 
READ_REG A= 0x304B, D= 0x0 
READ_REG A= 0x304C, D= 0x11 
READ_REG A= 0x304D, D= 0x11 
READ_REG A= 0x304E, D= 0x0 
READ_REG A= 0x304F, D= 0x0 
READ_REG A= 0x3050, D= 0x0 
READ_REG A= 0x3051, D= 0x0 
READ_REG A= 0x3052, D= 0x0 
READ_REG A= 0x3053, D= 0x26 
READ_REG A= 0x3054, D= 0x0 
READ_REG A= 0x3055, D= 0x1 
READ_REG A= 0x3056, D= 0x0 
READ_REG A= 0x3057, D= 0x67 
READ_REG A= 0x3058, D= 0x0 
READ_REG A= 0x3059, D= 0x0 
READ_REG A= 0x305A, D= 0x15 
READ_REG A= 0x305B, D= 0x5 
READ_REG A= 0x305C, D= 0x18 
READ_REG A= 0x305D, D= 0x0 
READ_REG A= 0x305E, D= 0x20 
READ_REG A= 0x305F, D= 0x1 
READ_REG A= 0x3060, D= 0x0 
READ_REG A= 0x3061, D= 0x4A 
