Time [s], Analyzer Name, Decoded Protocol Result
17.277315750000000,I2C,Setup Write to [0x80] + NAK
17.284421250000001,I2C,Setup Write to [0x80] + NAK
17.289340500000002,I2C,Setup Write to [0x40] + ACK
17.294293000000000,I2C,Setup Write to [0x40] + ACK
17.299206750000000,I2C,Setup Write to [0x20] + NAK
17.304203749999999,I2C,Setup Write to [0x20] + NAK
17.309105750000001,I2C,Setup Write to [0x1A] + ACK
17.309197500000000,I2C,0x18 + ACK
17.309289000000000,I2C,0x09 + NAK
17.309380500000000,I2C,0x46 + NAK
17.309483749999998,I2C,0x40 + ACK
17.309701749999999,I2C,Setup Write to [0x60] + NAK
17.314688499999999,I2C,Setup Write to [0x30] + ACK
17.319597500000000,I2C,Setup Write to [0x30] + ACK
17.324593000000000,I2C,Setup Write to [0x30] + ACK
17.329484999999998,I2C,Setup Write to [0x60] + NAK
17.334434500000000,I2C,Setup Write to [0x60] + NAK
17.339309499999999,I2C,Setup Write to [0x60] + NAK
17.344306499999998,I2C,Setup Write to [0x30] + ACK
17.349189500000001,I2C,Setup Write to [0x30] + ACK
17.354213500000000,I2C,Setup Write to [0x32] + ACK
17.359116250000000,I2C,Setup Write to [0x60] + NAK
17.364112250000002,I2C,Setup Write to [0x60] + NAK
17.431984000000000,I2C,Setup Write to [0x64] + NAK
17.436868250000000,I2C,Setup Write to [0x30] + ACK
17.441737499999999,I2C,Setup Write to [0x30] + ACK
17.446735000000000,I2C,Setup Write to [0x60] + NAK
17.451641500000001,I2C,Setup Write to [0x1A] + ACK
17.451733000000001,I2C,0x18 + NAK
17.451824750000000,I2C,0x6E + ACK
17.451916250000000,I2C,0x46 + NAK
17.452019000000000,I2C,0x40 + ACK
17.452303749999999,I2C,Setup Write to [0x34] + ACK
17.452395249999999,I2C,0x31 + ACK
17.452486749999998,I2C,0xDC + ACK
17.452610000000000,I2C,Setup Read to [0x35] + ACK
17.452701749999999,I2C,0x01 + NAK
17.452885999999999,I2C,Setup Write to [0x34] + ACK
17.452977499999999,I2C,0x31 + ACK
17.453069249999999,I2C,0xDC + ACK
17.453192250000001,I2C,Setup Read to [0x35] + ACK
17.453283750000001,I2C,0x01 + NAK
17.626404250000000,I2C,Setup Write to [0x34] + ACK
17.626495750000000,I2C,0x30 + ACK
17.626587499999999,I2C,0x00 + ACK
17.626678999999999,I2C,0x01 + ACK
17.742105750000000,I2C,Setup Write to [0x34] + ACK
17.742197250000000,I2C,0x30 + ACK
17.742288750000000,I2C,0x07 + ACK
17.742380499999999,I2C,0x00 + ACK
17.742591749999999,I2C,Setup Write to [0x34] + ACK
17.742683249999999,I2C,0x30 + ACK
17.742774749999999,I2C,0x09 + ACK
17.742866500000002,I2C,0x01 + ACK
17.743053000000000,I2C,Setup Write to [0x34] + ACK
17.743144500000000,I2C,0x30 + ACK
17.743236249999999,I2C,0x0A + ACK
17.743327749999999,I2C,0xF0 + ACK
17.743511000000002,I2C,Setup Write to [0x1A] + ACK
17.743602750000001,I2C,0x18 + ACK
17.743694250000001,I2C,0x07 + NAK
17.743785750000001,I2C,0x00 + ACK
17.743977749999999,I2C,Setup Write to [0x1A] + ACK
17.744069249999999,I2C,0x18 + ACK
17.744160999999998,I2C,0x08 + ACK
17.744252500000002,I2C,0x10 + NAK
17.744448250000001,I2C,Setup Write to [0x34] + ACK
17.744539750000001,I2C,0x30 + ACK
17.744631250000001,I2C,0x12 + ACK
17.744723000000000,I2C,0x64 + ACK
17.744914999999999,I2C,Setup Write to [0x34] + ACK
17.745006499999999,I2C,0x30 + ACK
17.745097999999999,I2C,0x14 + ACK
17.745189750000002,I2C,0x20 + ACK
17.745380999999998,I2C,Setup Write to [0x34] + ACK
17.745472500000002,I2C,0x30 + ACK
17.745564250000001,I2C,0x16 + ACK
17.745655750000001,I2C,0x09 + ACK
17.745841250000002,I2C,Setup Write to [0x34] + ACK
17.745932750000001,I2C,0x30 + ACK
17.746024250000001,I2C,0x16 + ACK
17.746116000000001,I2C,0x09 + ACK
17.746307250000001,I2C,Setup Write to [0x34] + ACK
17.746398750000001,I2C,0x30 + ACK
17.746490250000001,I2C,0x18 + ACK
17.746582000000000,I2C,0x65 + ACK
17.746773500000000,I2C,Setup Write to [0x34] + ACK
17.746865000000000,I2C,0x30 + ACK
17.746956500000000,I2C,0x19 + ACK
17.747048249999999,I2C,0x04 + ACK
17.747233500000000,I2C,Setup Write to [0x34] + ACK
17.747325000000000,I2C,0x30 + ACK
17.747416749999999,I2C,0x1A + ACK
17.747508249999999,I2C,0x00 + ACK
17.747699999999998,I2C,Setup Write to [0x34] + ACK
17.747791500000002,I2C,0x30 + ACK
17.747883000000002,I2C,0x1B + ACK
17.747974750000001,I2C,0x00 + ACK
17.748156000000002,I2C,Setup Write to [0x1A] + ACK
17.748247500000002,I2C,0x18 + ACK
17.748339250000001,I2C,0x0E + ACK
17.748430750000001,I2C,0x4C + ACK
17.748626500000000,I2C,Setup Write to [0x34] + ACK
17.748718000000000,I2C,0x30 + ACK
17.748809749999999,I2C,0x1D + ACK
17.748901249999999,I2C,0x08 + ACK
17.749092500000000,I2C,Setup Write to [0x34] + ACK
17.749184000000000,I2C,0x30 + ACK
17.749275749999999,I2C,0x20 + ACK
17.749367249999999,I2C,0x01 + ACK
17.749559000000001,I2C,Setup Write to [0x34] + ACK
17.749650500000001,I2C,0x30 + ACK
17.749742000000001,I2C,0x21 + ACK
17.749833750000001,I2C,0x00 + ACK
17.750009250000002,I2C,Setup Write to [0x1A] + ACK
17.750100750000001,I2C,0x18 + ACK
17.750192500000001,I2C,0x23 + ACK
17.750284000000001,I2C,0x70 + NAK
17.750485749999999,I2C,Setup Write to [0x34] + ACK
17.750577499999999,I2C,0x30 + ACK
17.750668999999998,I2C,0x5C + ACK
17.750760499999998,I2C,0x18 + ACK
17.750952000000002,I2C,Setup Write to [0x34] + ACK
17.751043500000002,I2C,0x30 + ACK
17.751135250000001,I2C,0x5E + ACK
17.751226750000001,I2C,0x20 + ACK
17.751411999999998,I2C,Setup Write to [0x34] + ACK
17.751503750000001,I2C,0x30 + ACK
17.751595250000001,I2C,0x70 + ACK
17.751687000000000,I2C,0x02 + ACK
17.751878500000000,I2C,Setup Write to [0x34] + ACK
17.751970000000000,I2C,0x30 + ACK
17.752061500000000,I2C,0x71 + ACK
17.752153249999999,I2C,0x11 + ACK
17.752497999999999,I2C,Setup Write to [0x1A] + ACK
17.752589499999999,I2C,0x18 + ACK
17.752681249999998,I2C,0x4D + NAK
17.752772749999998,I2C,0x08 + ACK
17.752987250000000,I2C,Setup Write to [0x34] + ACK
17.753078750000000,I2C,0x30 + ACK
17.753170250000000,I2C,0x9C + ACK
17.753261999999999,I2C,0x22 + ACK
17.753447749999999,I2C,Setup Write to [0x34] + ACK
17.753539249999999,I2C,0x30 + ACK
17.753630749999999,I2C,0xA2 + ACK
17.753722499999999,I2C,0x02 + ACK
17.753914500000000,I2C,Setup Write to [0x34] + ACK
17.754006250000000,I2C,0x30 + ACK
17.754097750000000,I2C,0xA6 + ACK
17.754189250000000,I2C,0x20 + ACK
17.754381500000001,I2C,Setup Write to [0x34] + ACK
17.754473000000001,I2C,0x30 + ACK
17.754564500000001,I2C,0xA8 + ACK
17.754656250000000,I2C,0x20 + ACK
17.754831249999999,I2C,Setup Write to [0x1A] + ACK
17.754922749999999,I2C,0x18 + ACK
17.755014500000001,I2C,0x55 + ACK
17.755106000000001,I2C,0x10 + ACK
17.755307750000000,I2C,Setup Write to [0x34] + ACK
17.755399250000000,I2C,0x30 + ACK
17.755490750000000,I2C,0xAC + ACK
17.755582499999999,I2C,0x20 + ACK
17.755773999999999,I2C,Setup Write to [0x34] + ACK
17.755865499999999,I2C,0x30 + ACK
17.755957250000002,I2C,0xB0 + ACK
17.756048750000001,I2C,0x43 + ACK
17.756223750000000,I2C,Setup Write to [0x1A] + ACK
17.756315250000000,I2C,0x18 + NAK
17.756406750000000,I2C,0x0C + NAK
17.756498499999999,I2C,0x4F + ACK
17.756689750000000,I2C,Setup Write to [0x1A] + ACK
17.756781250000000,I2C,0x18 + NAK
17.756872999999999,I2C,0x0E + ACK
17.756964499999999,I2C,0x0F + ACK
17.757166000000002,I2C,Setup Write to [0x34] + ACK
17.757257500000001,I2C,0x31 + ACK
17.757349000000001,I2C,0x1E + ACK
17.757440750000001,I2C,0x08 + ACK
17.757625999999998,I2C,Setup Write to [0x34] + ACK
17.757717499999998,I2C,0x31 + ACK
17.757809000000002,I2C,0x28 + ACK
17.757900750000001,I2C,0x05 + ACK
17.758092500000000,I2C,Setup Write to [0x34] + ACK
17.758184000000000,I2C,0x31 + ACK
17.758275500000000,I2C,0x3D + ACK
17.758367249999999,I2C,0x83 + ACK
17.758548500000000,I2C,Setup Write to [0x1A] + ACK
17.758640000000000,I2C,0x18 + NAK
17.758731500000000,I2C,0x28 + ACK
